Number,Name,PLD,LCD,VSA,Density,VF,H,C,N,O,Metal,Metal_count,Number_group
201,16170N2,18.388,18.65543,1204.52,0.539708,0.7194,136.0,224.0,16.0,0.0,0,0,24
202,16171N2,17.18023,17.56245,1221.26,0.641115,0.699,104.0,224.0,16.0,0.0,0,0,16
203,16172N2,25.13758,25.3962,1071.65,0.430329,0.7702,168.0,288.0,16.0,0.0,0,0,32
204,16173N2,31.2943,31.48265,975.979,0.395166,0.8038,184.0,352.0,32.0,0.0,0,0,32
205,16174N2,27.16403,27.40816,989.082,0.39397,0.7898,232.0,368.0,16.0,16.0,0,0,32
206,16180C2,15.00037,15.2073,1373.55,0.583908,0.6982,112.0,144.0,4.0,16.0,0,0,0
207,16181C2,16.60404,17.20432,1415.06,0.5423,0.7256,80.0,136.0,0.0,16.0,0,0,0
208,16190N2,6.47937,9.35805,1714.53,0.626677,0.6534,156.0,240.0,28.0,0.0,0,0,24
209,16191N2,6.59713,9.08273,2213.57,0.563956,0.7038,204.0,312.0,28.0,0.0,0,0,36
210,16200N2,11.983,12.96834,1646.39,0.733503,0.706,48.0,72.0,12.0,48.0,0,0,0
211,16201N2,12.03827,12.95641,1528.26,0.596112,0.7514,48.0,72.0,12.0,30.0,0,0,0
212,16210N2,20.88364,21.14298,1127.38,0.691946,0.6848,48.0,120.0,24.0,24.0,0,0,0
213,16211N2,21.35282,21.60557,1057.73,0.73422,0.6802,48.0,120.0,24.0,36.0,0,0,0
214,16220N2,25.82277,26.053,1059.74,0.498003,0.7782,72.0,108.0,24.0,12.0,0,0,12
215,16230N2,11.93487,12.37,1249.13,0.792045,0.6312,36.0,60.0,12.0,6.0,0,0,6
216,16240C2,2.57751,3.29576,0.0,1.74887,0.3496,18.0,20.0,12.0,6.0,0,0,0
217,16241C2,2.75122,3.40843,0.0,1.52098,0.3566,18.0,20.0,12.0,6.0,0,0,0
218,16242C2,2.36465,3.11967,0.0,1.98653,0.3354,18.0,20.0,12.0,6.0,0,0,0
219,16250N3,21.57176,24.43912,999.382,0.139903,0.9336,84.0,138.0,8.0,0.0,0,0,16
220,16251N3,12.29168,13.46817,1999.28,0.279806,0.8634,168.0,276.0,16.0,0.0,0,0,32
221,16260N2,12.98444,13.527,697.591,0.758254,0.6256,180.0,144.0,24.0,24.0,0,0,0
222,16270N2,23.92011,24.32238,1285.0,0.52243,0.7388,168.0,252.0,24.0,0.0,0,0,36
223,16271N2,32.02224,32.3342,1125.93,0.438409,0.7866,216.0,324.0,24.0,0.0,0,0,48
224,16272N2,38.93275,39.21249,1030.73,0.355595,0.8206,264.0,396.0,24.0,0.0,0,0,60
225,16273N2,27.22939,27.58431,1244.5,0.52721,0.7606,144.0,252.0,24.0,0.0,0,0,24
226,16280C2,41.05854,41.11595,883.416,0.283668,0.8486,168.0,240.0,24.0,0.0,0,0,24
227,16290N3,2.39467,4.62745,0.0,1.17643,0.3946,384.0,608.0,64.0,0.0,0,0,64
228,16300N2,32.11652,32.27168,910.62,0.361341,0.7958,96.0,144.0,12.0,0.0,0,0,18
229,16310N2,7.60702,9.70729,3034.42,0.48852,0.7506,116.0,180.0,16.0,8.0,0,0,14
230,16311N2,8.67349,9.3168,2403.12,0.489988,0.757,108.0,172.0,24.0,8.0,0,0,14
231,16312N2,17.47396,18.55352,1926.51,0.338509,0.835,76.0,120.0,16.0,4.0,0,0,10
232,16320N2,22.64663,22.85845,1051.65,0.594918,0.715,72.0,108.0,12.0,12.0,0,0,12
233,16330N2,23.42859,23.65331,1120.14,0.477343,0.7578,72.0,108.0,12.0,0.0,0,0,12
234,16331N2,30.41534,30.60553,948.567,0.393362,0.807,84.0,132.0,24.0,0.0,0,0,18
235,16332N3,13.42157,17.51716,1411.5,0.275377,0.8802,64.0,120.0,16.0,32.0,0,0,0
236,16340N2,12.59264,14.05373,2021.26,0.497826,0.7728,104.0,176.0,32.0,16.0,0,0,16
237,16350N2,29.80285,29.99816,916.011,0.502317,0.7808,48.0,132.0,0.0,24.0,0,0,0
238,16351N2,23.24713,23.4697,1163.64,0.607177,0.725,96.0,156.0,0.0,36.0,0,0,0
239,16360N2,21.61542,21.85709,1183.01,0.53333,0.7408,54.0,90.0,18.0,12.0,0,0,12
240,16361N2,33.75087,33.91137,932.519,0.37311,0.81,84.0,132.0,24.0,12.0,0,0,18
241,16370N2,6.02452,6.73972,1250.75,1.03186,0.5238,12.0,24.0,12.0,0.0,0,0,0
242,16371N2,3.26705,4.26332,0.0,1.33308,0.353,36.0,72.0,12.0,0.0,0,0,0
243,16380N2,40.70376,40.84931,805.722,0.311083,0.8482,108.0,168.0,36.0,0.0,0,0,24
244,16381N2,31.02175,31.20946,940.396,0.384282,0.8096,96.0,144.0,12.0,0.0,0,0,18
245,16390N2,16.65965,17.83727,1949.82,0.39048,0.814,68.0,120.0,8.0,0.0,0,0,8
246,16400N2,26.57139,27.21938,1299.87,0.42372,0.7996,120.0,228.0,0.0,48.0,0,0,24
247,16410C2,10.03477,10.55425,1416.51,0.933073,0.5848,120.0,162.0,18.0,12.0,0,0,6
248,16411C2,10.03477,10.55425,1431.07,0.849852,0.589,120.0,162.0,18.0,12.0,0,0,6
249,16412C2,10.03477,10.55425,1457.14,0.819044,0.5998,120.0,162.0,18.0,12.0,0,0,6
250,16413C2,10.03477,10.55425,1395.28,1.02107,0.578,120.0,162.0,18.0,12.0,0,0,6
251,16420N2,16.60334,16.9452,1198.67,0.753397,0.6538,108.0,132.0,24.0,24.0,0,0,0
252,16430N2,11.31929,12.08106,2686.51,0.440988,0.7498,168.0,156.0,12.0,12.0,0,0,0
253,16440N2,27.31084,27.50664,983.304,0.416732,0.7836,120.0,156.0,12.0,12.0,0,0,12
254,16450N2,18.55205,20.44724,1509.03,0.361779,0.813,76.0,120.0,16.0,0.0,0,0,12
255,16460N2,29.22232,29.24907,942.681,0.433033,0.7856,168.0,264.0,48.0,24.0,0,0,24
256,16470N2,16.56473,16.88904,1156.36,0.636449,0.671,60.0,96.0,0.0,0.0,0,0,12
257,16480N2,18.22152,18.52304,1162.33,0.567406,0.7236,54.0,90.0,18.0,0.0,0,0,12
258,16481N2,17.15,17.87385,1209.86,0.593558,0.709,54.0,90.0,18.0,0.0,0,0,12
259,16490N2,9.77527,10.27456,1353.02,0.917615,0.6216,72.0,72.0,36.0,0.0,0,0,12
260,16500N2,11.68187,12.07235,1528.31,0.92111,0.6048,24.0,72.0,36.0,0.0,0,0,0
261,16510N2,9.11511,9.87643,1412.68,0.747046,0.6244,84.0,144.0,24.0,0.0,0,0,18
262,17000N2,21.04411,21.9809,1900.57,0.390254,0.8104,168.0,368.0,32.0,32.0,0,0,16
263,17010N2,18.74254,19.03739,1147.61,0.538185,0.7256,66.0,102.0,6.0,0.0,0,0,12
264,17020N2,22.16929,22.4178,1070.23,0.530409,0.7492,60.0,96.0,24.0,12.0,0,0,0
265,17030N2,31.61204,31.79267,910.8,0.41393,0.7892,96.0,144.0,12.0,12.0,0,0,18
266,17040N2,12.51715,12.95632,1233.04,0.736546,0.6312,208.0,352.0,32.0,0.0,0,0,32
267,17050N2,24.59168,24.86396,1096.63,0.4697,0.764,120.0,156.0,12.0,0.0,0,0,12
268,17060N2,11.06227,11.37505,1361.54,0.748248,0.614,156.0,252.0,28.0,0.0,0,0,36
269,17061N2,7.25612,7.88207,1229.25,0.933326,0.5162,108.0,180.0,28.0,0.0,0,0,24
270,17070N2,29.06389,29.23932,958.867,0.46773,0.7944,84.0,132.0,24.0,12.0,0,0,12
271,17080C2,14.32288,14.92983,1358.03,0.870877,0.688,120.0,172.0,16.0,0.0,0,0,60
272,17090N3,8.10818,8.32513,1406.69,0.730299,0.6088,144.0,212.0,16.0,0.0,0,0,32
273,17091N3,3.53037,4.66112,711.773,0.993446,0.4846,128.0,196.0,32.0,0.0,0,0,16
274,17100N2,29.13679,29.31086,924.428,0.523006,0.7626,60.0,144.0,24.0,24.0,0,0,12
275,17110N2,25.36984,25.71565,1259.41,0.35903,0.8004,192.0,192.0,12.0,12.0,0,0,0
276,17120N2,1.78729,5.44216,0.0,0.866637,0.5316,60.0,42.0,24.0,0.0,0,0,0
277,17130N2,36.3538,36.55572,899.406,0.438993,0.7694,360.0,552.0,48.0,0.0,0,0,48
278,17131N2,27.82019,28.02716,983.559,0.581978,0.694,264.0,408.0,48.0,0.0,0,0,24
279,17140N2,19.60984,19.89057,1156.62,0.517896,0.7326,72.0,114.0,12.0,0.0,0,0,16
280,17150N2,25.51861,25.62212,1004.47,0.493129,0.7434,138.0,166.0,14.0,14.0,0,0,12
281,17151N2,24.38006,24.50352,1010.82,0.510773,0.7366,134.0,166.0,14.0,18.0,0,0,12
282,17152N2,23.23814,23.3108,1021.22,0.516977,0.7356,138.0,168.0,14.0,18.0,0,0,12
283,17153N2,23.9675,24.14078,997.327,0.518329,0.7294,152.0,174.0,16.0,14.0,0,0,12
284,17154N2,20.81746,20.947,928.896,0.615241,0.6802,188.0,196.0,16.0,24.0,0,0,12
285,17155N2,19.26829,19.382,947.74,0.632277,0.6752,188.0,200.0,16.0,32.0,0,0,12
286,17156N2,4.91751,5.56789,892.628,1.0499,0.471,294.0,306.0,24.0,48.0,0,0,23
287,17160N3,18.71003,21.8567,1083.71,0.165781,0.9156,88.0,146.0,16.0,0.0,2,2,16
288,17161N3,13.64478,16.46047,1942.66,0.331563,0.8354,176.0,292.0,32.0,0.0,2,4,32
289,17162N3,18.64203,21.69652,1089.65,0.155274,0.915,92.0,150.0,12.0,0.0,0,0,16
290,17163N3,13.66038,16.30857,1918.23,0.310547,0.8332,184.0,300.0,24.0,0.0,0,0,32
291,17170N2,11.50736,11.99864,1295.38,0.716186,0.6338,42.0,66.0,6.0,2.0,0,0,6
292,17180N2,12.65155,13.08541,1333.85,0.526629,0.7328,0.0,0.0,0.0,0.0,0,0,12
293,17181N2,20.57924,20.9203,1281.88,0.492864,0.7646,96.0,96.0,24.0,24.0,0,0,0
294,17190N2,16.26602,16.67363,1237.37,0.560084,0.6938,60.0,90.0,8.0,0.0,0,0,12
295,17191N2,14.96924,15.41149,1286.82,0.632066,0.67,54.0,78.0,10.0,0.0,0,0,12
296,17200C3,2.03417,3.59555,0.0,1.41616,0.4108,144.0,208.0,48.0,0.0,1,8,16
297,17210N2,17.09611,17.39366,1148.48,0.650728,0.6798,48.0,96.0,12.0,6.0,0,0,12
298,17220N2,21.85306,22.19192,1303.95,0.483209,0.741,168.0,180.0,12.0,12.0,0,0,12
299,17230N2,9.49049,9.80037,1180.49,0.819474,0.581,88.0,132.0,16.0,0.0,0,0,18
300,17240N3,25.41101,25.60327,1053.56,0.428917,0.7668,120.0,168.0,12.0,0.0,0,0,12
301,17250N2,22.98007,23.09949,1112.69,0.473356,0.7724,60.0,96.0,24.0,0.0,0,0,0
302,18000C3,2.62733,4.01679,0.0,0.980967,0.527,48.0,144.0,0.0,48.0,0,0,0
303,18001C3,3.21647,4.36436,0.0,1.01173,0.5146,48.0,144.0,0.0,48.0,0,0,0
304,18010N3,5.02763,5.77387,1286.45,0.831566,0.5722,92.0,120.0,8.0,8.0,0,0,16
305,18011N3,5.05599,5.65179,715.176,0.889865,0.5542,92.0,120.0,8.0,16.0,0,0,16
306,18020N3,14.36485,17.5734,1271.3,0.156205,0.9184,80.0,100.0,8.0,0.0,0,0,12
307,18021N3,9.80173,12.96805,2644.26,0.351674,0.8258,80.0,100.0,8.0,0.0,0,0,24
308,18022N3,9.67446,10.16733,2168.83,0.467019,0.7566,80.0,100.0,8.0,0.0,0,0,12
309,18023N3,9.65747,11.09613,1563.25,0.621838,0.675,80.0,100.0,8.0,0.0,0,0,12
310,18030N2,7.16577,7.81506,1539.32,0.764414,0.6,72.0,112.0,8.0,0.0,0,0,16
311,18031N2,10.85254,11.6937,1535.91,0.650729,0.6612,224.0,344.0,16.0,16.0,0,0,48
312,18032N2,15.87436,16.28451,1383.21,0.589329,0.6808,224.0,328.0,16.0,0.0,0,0,48
313,18033N2,15.50715,15.91973,1479.7,0.509455,0.7288,240.0,328.0,32.0,0.0,0,0,48
314,18040N3,6.35265,7.06143,1640.56,0.766111,0.6002,144.0,212.0,16.0,16.0,0,0,16
315,18041N3,4.31835,4.77581,499.802,1.11611,0.4478,208.0,276.0,16.0,64.0,0,0,16
316,18050N2,27.09127,27.26495,1001.8,0.42524,0.7814,120.0,156.0,12.0,12.0,0,0,12
317,18060N2,15.42821,15.65893,1479.48,0.740757,0.6172,132.0,120.0,24.0,24.0,0,0,0
318,18061N2,16.94754,17.10874,1002.63,0.735392,0.6312,108.0,120.0,24.0,24.0,0,0,0
319,18070N2,16.82414,17.17805,1394.88,0.776836,0.6038,204.0,276.0,24.0,24.0,0,0,12
320,18080N2,20.3011,20.75693,1147.86,0.495478,0.7622,144.0,240.0,32.0,0.0,1,4,32
321,18081N2,18.44249,18.72632,1205.56,0.606696,0.7272,112.0,240.0,32.0,0.0,1,4,16
322,18082N2,18.58824,19.04427,1203.44,0.52829,0.742,136.0,240.0,32.0,0.0,1,4,16
323,18083N2,17.98332,18.16021,1339.54,0.549072,0.7312,176.0,256.0,32.0,16.0,1,4,16
324,18090N2,24.69607,24.82011,949.165,0.452534,0.7688,120.0,240.0,0.0,24.0,0,0,12
325,18091N2,10.72445,11.35726,2727.53,0.480086,0.758,240.0,480.0,0.0,48.0,0,0,24
326,18100N2,32.98954,33.17197,918.882,0.352868,0.8164,72.0,132.0,12.0,12.0,0,0,12
327,18101N2,28.26931,28.47879,1016.3,0.41945,0.7826,72.0,120.0,12.0,12.0,0,0,12
328,18110N2,16.15375,16.51788,1213.62,0.687086,0.6636,136.0,224.0,16.0,0.0,0,0,24
329,18111N2,17.28794,17.6262,1189.6,0.725925,0.6778,104.0,224.0,16.0,0.0,0,0,16
330,18112N2,16.60555,16.94837,1204.94,0.737921,0.676,104.0,224.0,16.0,16.0,0,0,16
331,18120N3,6.98122,7.53693,2009.28,0.493027,0.716,112.0,160.0,16.0,0.0,0,0,20
332,18121N3,6.06486,6.13559,1019.51,0.933924,0.495,144.0,212.0,16.0,0.0,0,0,32
333,18122N3,7.82122,8.03432,1188.47,0.829418,0.5534,176.0,260.0,16.0,0.0,0,0,40
334,18130N3,8.9372,9.07194,1519.94,0.733931,0.6298,112.0,164.0,16.0,0.0,0,0,24
335,18131N3,4.09217,4.35137,566.262,1.1151,0.431,112.0,164.0,16.0,0.0,0,0,24
336,18132N3,8.87995,8.97859,1510.42,0.735312,0.6202,112.0,164.0,16.0,0.0,0,0,24
337,18133N3,7.14934,8.65257,1869.76,0.619925,0.6912,216.0,318.0,24.0,0.0,0,0,48
338,18134N3,13.19498,13.6119,1551.14,0.54766,0.7216,86.0,134.0,16.0,0.0,0,0,14
339,18140N2,17.97835,18.52351,1321.87,0.40444,0.787,72.0,96.0,8.0,0.0,0,0,12
340,18141N2,19.51385,19.79874,1181.92,0.441063,0.766,78.0,108.0,6.0,0.0,0,0,12
341,18142N3,27.77247,30.32292,1055.52,0.141689,0.918,108.0,162.0,16.0,0.0,0,0,24
342,18143N3,30.43642,35.0199,892.832,0.109984,0.9394,120.0,186.0,12.0,0.0,0,0,22
343,18150N2,13.45082,13.78326,1297.05,0.92742,0.621,22.0,72.0,12.0,12.0,0,0,0
344,18151N2,21.77837,22.00137,1072.28,0.648722,0.7076,48.0,108.0,12.0,12.0,0,0,0
345,18160N2,18.59478,18.87398,1149.74,0.57606,0.7164,54.0,90.0,18.0,0.0,0,0,12
346,18161N2,16.56702,16.89116,1192.86,0.716559,0.688,42.0,90.0,18.0,0.0,0,0,6
347,19000N3,16.64848,19.29611,1298.35,0.207045,0.8974,64.0,88.0,8.0,0.0,0,0,8
348,19001N3,6.25088,8.81151,2625.06,0.422471,0.7962,64.0,88.0,8.0,0.0,0,0,8
349,19002N3,20.28649,23.97998,975.024,0.140829,0.9302,72.0,118.0,8.0,0.0,0,0,16
350,19003N3,8.93489,11.12571,1965.91,0.288804,0.861,72.0,118.0,8.0,0.0,0,0,16
351,19010N2,10.66013,10.97505,1281.29,0.802361,0.5982,168.0,296.0,32.0,0.0,0,0,32
352,19020N3,8.93284,11.92097,2032.8,0.303867,0.8542,96.0,164.0,16.0,16.0,0,0,0
353,19021N3,2.05596,3.18411,0.0,1.34656,0.345,96.0,164.0,16.0,16.0,0,0,0
354,19022N3,8.27158,10.98008,2240.86,0.343281,0.8366,96.0,164.0,16.0,16.0,0,0,0
355,19023N3,1.91698,3.53582,0.0,1.39534,0.3434,96.0,164.0,16.0,16.0,0,0,0
356,19030N2,10.63601,10.855,1461.68,0.724467,0.6584,90.0,126.0,36.0,24.0,0,0,0
357,19031N2,7.55574,8.57775,2015.59,0.724467,0.66,90.0,126.0,36.0,24.0,0,0,0
358,19040N2,13.32415,13.81042,1302.4,0.716222,0.6686,120.0,224.0,16.0,24.0,4,8,16
359,19041N2,24.87317,25.07646,1049.36,0.501009,0.7736,72.0,132.0,24.0,18.0,4,6,12
360,19050N2,33.50221,33.67402,912.983,0.404282,0.811,60.0,132.0,24.0,0.0,0,0,12
361,19051N2,34.29511,34.45228,881.759,0.383975,0.815,60.0,144.0,24.0,0.0,0,0,12
362,19060N2,15.43355,15.65803,1199.98,0.583835,0.6972,0.0,0.0,0.0,0.0,0,0,12
363,19061N2,16.14031,16.249,1190.16,0.560777,0.704,84.0,112.0,8.0,2.0,0,0,12
364,19070N2,28.64974,28.83691,1018.63,0.511162,0.7654,72.0,132.0,36.0,12.0,0,0,12
365,19071N2,9.66512,10.34676,2704.34,0.517673,0.7688,72.0,132.0,36.0,12.0,0,0,12
366,19072N2,7.36122,8.10224,2714.51,0.511212,0.767,108.0,198.0,54.0,18.0,0,0,18
367,19080N2,17.37251,17.70188,1314.25,0.62246,0.702,84.0,96.0,24.0,24.0,0,0,0
368,19090N2,28.4495,28.64646,953.488,0.471219,0.7862,60.0,132.0,24.0,12.0,0,0,12
369,19100N2,6.42036,7.12861,1816.34,0.852919,0.6278,24.0,120.0,0.0,24.0,0,0,0
370,19101N2,18.02008,18.31073,1125.92,0.754903,0.675,36.0,108.0,0.0,24.0,0,0,0
371,19102N2,23.59441,23.82296,1017.93,0.578502,0.728,60.0,144.0,24.0,0.0,0,0,0
372,19103N2,8.83148,9.37055,2012.6,0.610698,0.7152,60.0,144.0,24.0,0.0,0,0,0
373,19110N2,27.10618,27.3279,990.662,0.408741,0.793,84.0,132.0,24.0,12.0,0,0,12
374,19120N2,23.09476,23.32644,1081.34,0.520492,0.7608,60.0,84.0,24.0,24.0,0,0,0
375,19121N2,9.48852,9.96278,2268.51,0.55408,0.7446,60.0,84.0,24.0,24.0,0,0,0
376,19122N2,20.62443,20.86928,1181.7,0.54025,0.7372,84.0,96.0,24.0,24.0,0,0,0
377,19123N2,7.19661,7.78938,1557.43,0.619941,0.6918,84.0,96.0,24.0,24.0,0,0,0
378,19130N2,19.07436,19.47106,1148.33,0.574802,0.7164,152.0,272.0,32.0,0.0,0,0,32
379,19140N2,13.66316,14.0117,1358.71,0.910414,0.6104,24.0,120.0,12.0,24.0,0,0,0
380,19141N2,5.84969,6.07633,1765.15,0.948156,0.6018,0.0,120.0,12.0,24.0,0,0,0
381,19142N2,25.54261,25.76234,952.211,0.582433,0.7428,48.0,156.0,0.0,36.0,0,0,0
382,19143N2,11.10758,11.37884,1957.33,0.638185,0.717,48.0,156.0,0.0,36.0,0,0,0
383,19144N2,14.06447,14.40865,1191.71,1.00926,0.579,36.0,120.0,0.0,48.0,0,0,0
384,19145N2,14.17649,14.51615,1217.52,0.917661,0.5946,48.0,120.0,12.0,24.0,0,0,0
385,19150N2,4.45148,5.22249,1029.68,1.25415,0.4524,12.0,24.0,12.0,6.0,0,0,0
386,19160C2,11.73781,12.37141,1227.56,0.957877,0.557,42.0,72.0,12.0,30.0,0,0,0
387,19170N2,28.06533,28.19438,965.599,0.659458,0.6912,252.0,252.0,12.0,36.0,0,0,0
388,19180N2,30.67805,30.87196,1013.85,0.41863,0.814,84.0,132.0,24.0,12.0,0,0,18
389,19181N2,25.49386,25.68521,1111.8,0.521754,0.7606,60.0,96.0,24.0,12.0,0,0,12
390,19182N2,38.66104,38.83476,879.286,0.329164,0.8514,96.0,144.0,36.0,24.0,0,0,18
391,19190N2,11.38463,11.88222,1877.75,0.574363,0.7168,224.0,312.0,16.0,16.0,0,0,16
392,19191N2,5.8438,6.09493,1178.79,0.829693,0.5564,486.0,486.0,18.0,18.0,0,0,0
393,19200N2,8.45677,9.19121,2766.73,0.505368,0.739,72.0,108.0,12.0,0.0,0,0,12
394,19210N2,27.52417,27.59709,1021.15,0.406917,0.7916,120.0,162.0,24.0,0.0,0,0,12
395,19211C2,27.47143,27.57963,1025.43,0.420629,0.7768,114.0,162.0,24.0,0.0,0,0,12
396,19212N2,25.80375,26.09972,1051.38,0.412655,0.7864,132.0,168.0,24.0,0.0,0,0,12
397,19213C2,26.03909,26.32865,1033.28,0.421798,0.7674,126.0,168.0,24.0,0.0,0,0,12
398,19214N2,24.59507,24.8972,1068.39,0.459412,0.781,114.0,168.0,24.0,0.0,0,0,12
399,19215C2,24.81643,25.11446,1042.93,0.468225,0.7702,108.0,168.0,24.0,0.0,0,0,12
400,19220N2,37.37679,37.58462,876.676,0.300469,0.8514,108.0,180.0,12.0,0.0,0,0,24
401,19230N2,18.75752,18.893,1134.13,0.50258,0.7434,232.0,344.0,32.0,8.0,0,0,32
